study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB12449	SAMEA3879500	ERS1066634	ERX1364628	ERR1293056	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/006/ERR1293056/ERR1293056.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/006/ERR1293056/ERR1293056.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS11288076ST-27-0-0_14s001721-4-1_lane8.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS11288076ST-27-0-0_14s001721-4-1_lane8.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/006/ERR1293056	ftp.sra.ebi.ac.uk/vol1/err/ERR129/006/ERR1293056		
PRJEB12449	SAMEA3879500	ERS1066634	ERX1364629	ERR1293057	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/007/ERR1293057/ERR1293057.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/007/ERR1293057/ERR1293057.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS11288076ST-27-0-0_14s001721-1-1_lane5.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS11288076ST-27-0-0_14s001721-1-1_lane5.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/007/ERR1293057	ftp.sra.ebi.ac.uk/vol1/err/ERR129/007/ERR1293057		
PRJEB12449	SAMEA3879500	ERS1066634	ERX1364630	ERR1293058	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/008/ERR1293058/ERR1293058.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/008/ERR1293058/ERR1293058.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS11288076ST-27-0-0_14s001721-3-1_lane7.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS11288076ST-27-0-0_14s001721-3-1_lane7.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/008/ERR1293058	ftp.sra.ebi.ac.uk/vol1/err/ERR129/008/ERR1293058		
PRJEB12449	SAMEA3879500	ERS1066634	ERX1364631	ERR1293059	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/009/ERR1293059/ERR1293059.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/009/ERR1293059/ERR1293059.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS11288076ST-27-0-0_14s001721-2-1_lane6.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS11288076ST-27-0-0_14s001721-2-1_lane6.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/009/ERR1293059	ftp.sra.ebi.ac.uk/vol1/err/ERR129/009/ERR1293059		
PRJEB12449	SAMEA3879501	ERS1066635	ERX1364632	ERR1293060	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/000/ERR1293060/ERR1293060.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/000/ERR1293060/ERR1293060.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS99045180ST-27-0-0_14s001716-4-1_lane3.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS99045180ST-27-0-0_14s001716-4-1_lane3.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/000/ERR1293060	ftp.sra.ebi.ac.uk/vol1/err/ERR129/000/ERR1293060		
PRJEB12449	SAMEA3879501	ERS1066635	ERX1364633	ERR1293061	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/001/ERR1293061/ERR1293061.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/001/ERR1293061/ERR1293061.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS99045180ST-27-0-0_14s001716-3-1_lane2.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS99045180ST-27-0-0_14s001716-3-1_lane2.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/001/ERR1293061	ftp.sra.ebi.ac.uk/vol1/err/ERR129/001/ERR1293061		
PRJEB12449	SAMEA3879501	ERS1066635	ERX1364634	ERR1293062	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/002/ERR1293062/ERR1293062.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/002/ERR1293062/ERR1293062.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS99045180ST-27-0-0_14s001716-2-1_lane1.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS99045180ST-27-0-0_14s001716-2-1_lane1.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/002/ERR1293062	ftp.sra.ebi.ac.uk/vol1/err/ERR129/002/ERR1293062		
PRJEB12449	SAMEA3879501	ERS1066635	ERX1364635	ERR1293063	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/003/ERR1293063/ERR1293063.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/003/ERR1293063/ERR1293063.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS99045180ST-27-0-0_14s001716-1-1_lane8.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS99045180ST-27-0-0_14s001716-1-1_lane8.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/003/ERR1293063	ftp.sra.ebi.ac.uk/vol1/err/ERR129/003/ERR1293063		
PRJEB12449	SAMEA3879502	ERS1066636	ERX1364636	ERR1293064	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/004/ERR1293064/ERR1293064.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/004/ERR1293064/ERR1293064.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS66868025ST-27-0-0_14s001728-4-1_lane8.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS66868025ST-27-0-0_14s001728-4-1_lane8.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/004/ERR1293064	ftp.sra.ebi.ac.uk/vol1/err/ERR129/004/ERR1293064		
PRJEB12449	SAMEA3879502	ERS1066636	ERX1364637	ERR1293065	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/005/ERR1293065/ERR1293065.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/005/ERR1293065/ERR1293065.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS66868025ST-27-0-0_14s001728-1-1_lane5.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS66868025ST-27-0-0_14s001728-1-1_lane5.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/005/ERR1293065	ftp.sra.ebi.ac.uk/vol1/err/ERR129/005/ERR1293065		
